Title: 磁場スイープ８パタパタ
Date: 2024-06-27
VG	REAL(CURRENT)
 0.65 	2.15834528207779E-02 
 0.64 	3.18584591150284E-02 
 0.63 	3.67317721247673E-02 
 0.62 	4.44676503539085E-02 
 0.61 	2.88179162889719E-02 
 0.6 	5.07842972874641E-02 
 0.59 	3.38499248027802E-02 
 0.58 	0.037764884531498 
 0.57 	4.59344312548637E-02 
 0.56 	3.66776920855045E-02 
 0.55 	2.54742596298456E-02 
 0.54 	4.15303148329258E-02 
 0.53 	2.99519207328558E-02 
 0.52 	4.36635315418243E-02 
 0.51 	6.02251440286636E-02 
 0.5 	5.97175098955631E-02 
 0.49 	5.93995451927185E-02 
 0.48 	5.38218319416046E-02 
 0.47 	7.49232545495033E-02 
 0.46 	7.45231136679649E-02 
 0.45 	0.076190322637558 
