Title: 磁場スイープ８パタパタ
Date: 2024-06-26
VG	REAL(CURRENT)
 0.45 	1.34979318827391E-02 
 0.449 	2.05496456474066E-02 
 0.448 	9.29036736488342E-03 
 0.447 	1.27694448456168E-02 
 0.446 	1.80640872567892E-02 
 0.445 	1.44584160298109E-02 
 0.444 	0.014011406339705 
 0.443 	1.98057647794485E-02 
 0.442 	1.23476153239608E-02 
 0.441 	8.93065333366394E-03 
 0.44 	1.45567124709487E-02 
 0.439 	1.12428208813071E-02 
 0.438 	1.47630088031292E-02 
 0.437 	1.50881819427013E-02 
 0.436 	1.78372915834188E-02 
 0.435 	1.74766909331083E-02 
 0.434 	1.09265632927418E-02 
 0.433 	1.86208374798298E-02 
 0.432 	1.65998172014952E-02 
 0.431 	2.30961181223392E-02 
 0.43 	1.96506232023239E-02 
 0.429 	2.02534273266792E-02 
 0.428 	2.35536955296993E-02 
 0.427 	1.92236062139273E-02 
 0.426 	2.11038179695606E-02 
 0.425 	3.18892672657967E-02 
 0.424 	2.77582295238972E-02 
 0.423 	3.18908281624317E-02 
 0.422 	3.31938676536083E-02 
 0.421 	2.94051766395569E-02 
 0.42 	4.78018559515476E-02 
 0.419 	4.29279208183289E-02 
 0.418 	6.93560466170311E-02 
 0.417 	0.084318608045578 
 0.416 	0.120461769402027 
 0.415 	0.106523334980011 
 0.414 	7.08043426275253E-02 
 0.413 	0.065733939409256 
 0.412 	1.38397328555584E-02 
 0.411 	1.47460179869086E-03 
 0.41 	-6.22822996228933E-03 
 0.409 	1.99646642431617E-03 
 0.408 	2.95217405073345E-03 
 0.407 	-3.87282198062167E-04 
 0.406 	2.07928707823157E-03 
 0.405 	3.67265637032688E-03 
 0.404 	-5.01609814818949E-04 
 0.403 	3.67911136709154E-03 
 0.402 	1.94062944501638E-03 
 0.401 	2.27209748118185E-04 
 0.4 	-3.34729324094951E-04 
 0.399 	1.47495674900711E-03 
 0.398 	4.24565933644772E-03 
 0.397 	6.8381754681468E-03 
