Title: 磁場スイープ８パタパタ
Date: 2024-07-12
VG	REAL(CURRENT)
 0.8 	1.19543448090553E-02 
 0.79 	1.42908282577991E-03 
 0.78 	7.25062377750874E-03 
 0.77 	2.52390746027231E-03 
 0.76 	3.05836834013462E-03 
 0.75 	2.8057883027941E-03 
 0.74 	5.42900385335088E-03 
 0.73 	8.4189847111702E-03 
 0.72 	7.08189699798822E-03 
 0.71 	8.01272504031658E-03 
 0.7 	1.07428338378668E-02 
 0.69 	-1.80857710074633E-03 
 0.68 	4.69290278851986E-03 
 0.67 	8.44661984592676E-03 
 0.66 	1.25503661110997E-02 
 0.65 	7.98510946333408E-03 
 0.64 	2.91598727926612E-03 
 0.63 	6.20181951671839E-03 
 0.62 	7.92293902486563E-03 
 0.61 	0.006284658331424 
 0.6 	5.66687062382698E-03 
 0.59 	5.33244991675019E-03 
 0.58 	0.005139269400388 
 0.57 	6.16170873399824E-04 
 0.56 	9.05853603035212E-03 
 0.55 	2.68461555242538E-03 
 0.54 	8.4194503724575E-03 
 0.53 	9.76769626140594E-03 
 0.52 	1.25733558088541E-02 
 0.51 	7.91148003190756E-03 
 0.5 	6.14909920841455E-03 
 0.49 	1.23508935794234E-02 
 0.48 	1.08551159501076E-02 
 0.47 	5.16434013843536E-03 
 0.46 	1.76117084920406E-02 
 0.45 	1.49216931313276E-02 
 0.44 	1.45999854430556E-02 
 0.43 	2.86805108189583E-02 
 0.42 	3.43487001955509E-02 
 0.41 	6.33096462115645E-03 
 0.4 	-1.51636591181159E-03 
 0.39 	6.96200458332896E-03 
 0.38 	3.26763314660639E-04 
 0.37 	-2.18702293932438E-03 
 0.36 	3.42764519155025E-03 
 0.35 	7.10066989995539E-04 
