1.00E-04	6.18E-02	0.150365462	0.589032657	0.410967343				0.149649441	0.150365462
0.0801	6.97E-02	0.150365462	0.536367994	0.463632006				0.146383852	
0.2001	8.16E-02	0.150365462	0.457486177	0.542513823				0.155063093	
0.3601	9.69E-02	0.150365462	0.355656306	0.644343694					
0.5601	0.107015498	0.150365462	0.288297348	0.711702652					
0.8001	0.116471097	0.150365462	0.225413234	0.774586766					
1.0801	0.121686734	0.150365462	0.190726828	0.809273172					
1.4001	0.128099099	0.150365462	0.148081633	0.851918367					
1.7601	0.131475732	0.150365462	0.125625459	0.874374541					
2.1601	0.13735643	0.150365462	0.086516089	0.913483911					
2.6001	0.142066926	0.150365462	0.055189111	0.944810889					
3.0801	0.143085599	0.150365462	0.048414462	0.951585538					
3.6001	0.145720109	0.150365462	0.030893747	0.969106253					
