Title: 磁場スイープ８パタパタ
Date: 2024-07-16
VG	REAL(CURRENT)
 1 	1.88578630331904E-03 
 0.98 	-4.35991212725639E-04 
 0.96 	4.31762356311083E-03 
 0.94 	3.57979186810553E-03 
 0.92 	-7.31999287381768E-04 
 0.9 	-1.18858378846198E-03 
 0.88 	4.79596992954612E-03 
 0.86 	-3.70964338071644E-03 
 0.84 	7.8257629647851E-03 
 0.82 	-6.9006853736937E-03 
 0.8 	-4.32544416980818E-04 
 0.78 	2.27481033653021E-03 
 0.76 	-1.59522949252278E-03 
 0.74 	2.48223054222763E-03 
 0.72 	8.00052843987942E-03 
 0.7 	9.10250819288194E-04 
 0.68 	1.78430942469276E-04 
 0.66 	7.34520656988025E-03 
 0.64 	-3.89856286346912E-04 
 0.62 	1.92233407869935E-03 
 0.6 	4.23888821387663E-04 
 0.58 	-4.75382199510932E-03 
 0.56 	-1.10878492705524E-03 
 0.54 	7.5232854578644E-04 
 0.52 	2.69628455862403E-03 
 0.5 	4.64220670983195E-03 
 0.48 	3.33433225750923E-03 
 0.46 	1.56985654029995E-03 
 0.44 	1.77928223274648E-03 
 0.419999999999999 	1.09007442370057E-02 
