Title: 磁場スイープ８パタパタ
Date: 2024-07-12
VG	REAL(CURRENT)
 0.42 	3.55261750519276E-02 
 0.4195 	0.036055538803339 
 0.419 	3.09081766754389E-02 
 0.4185 	3.64669412374496E-02 
 0.418 	4.12053130567074E-02 
 0.4175 	5.10557033121586E-02 
 0.417 	5.32027333974838E-02 
 0.4165 	6.38943314552307E-02 
 0.416 	7.14792385697365E-02 
 0.4155 	8.48860666155815E-02 
 0.415 	9.12008509039879E-02 
 0.4145 	0.103276483714581 
 0.414 	0.103861577808857 
 0.4135 	0.103182919323444 
 0.413 	9.28271487355232E-02 
 0.4125 	7.77250751852989E-02 
 0.412 	7.19936117529869E-02 
 0.4115 	5.17948754131794E-02 
 0.411 	4.02622893452644E-02 
 0.4105 	2.12032813578844E-02 
 0.41 	8.49185045808554E-03 
 0.4095 	-2.36703758127987E-03 
 0.409 	1.75688252784312E-03 
 0.4085 	2.94721848331392E-03 
 0.408 	-1.01421738509089E-03 
 0.4075 	-3.04551073350012E-03 
 0.407 	1.3325463514775E-03 
 0.4065 	-3.75857972539961E-03 
 0.406 	-1.04284798726439E-03 
 0.4055 	-4.85871569253504E-04 
 0.405 	7.8124001447577E-05 
 0.4045 	9.01752428035252E-05 
 0.404 	3.24011920019984E-03 
 0.4035 	-8.29632917884737E-04 
 0.403 	-5.34883514046669E-03 
 0.4025 	9.3036366160959E-04 
 0.402 	-2.6883278042078E-03 
 0.4015 	3.33556882105768E-03 
