Title: T1Œv‘ª VER.3.00
Date: 2024-07-05
PUL.TJ	REAL(CURRENT)
 0 	5.51553890109062E-02 
 0 	4.90510873496532E-02 
 0.001 	1.37497708201408E-02 
 0.101 	7.83325452357531E-03 
 0.251 	1.62763204425573E-02 
 0.451 	1.45784029737115E-02 
 0.701 	1.87711976468563E-02 
 1.001 	1.79192274808884E-02 
 1.351 	1.95112973451614E-02 
 1.751 	2.90307179093361E-02 
 2.201 	3.16822044551373E-02 
 2.701 	2.84975860267878E-02 
