Title: 磁場スイープ4パタパタ
Date: 2024-07-04
VG	real(CURRENT)
 1 	-4.27561142714694E-04 
 0.99 	1.76960660610348E-03 
 0.98 	3.25434026308358E-03 
 0.97 	-2.72307870909572E-03 
 0.96 	-2.97320471145213E-03 
 0.95 	-3.2376553863287E-03 
 0.94 	8.97534191608429E-04 
 0.93 	2.47093639336526E-03 
 0.92 	8.64808389451355E-04 
 0.91 	4.57895593717694E-03 
 0.9 	-1.58578820992261E-03 
 0.89 	-3.52692720480263E-03 
 0.88 	1.80837872903794E-03 
 0.87 	2.97904305625707E-04 
 0.86 	3.00628365948796E-03 
 0.85 	4.32633934542537E-03 
 0.84 	1.74839154351503E-03 
 0.83 	2.47700535692275E-03 
 0.82 	1.30501377861947E-03 
 0.81 	1.3391530374065E-03 
 0.8 	2.24932539276779E-03 
 0.79 	5.66366082057357E-03 
 0.78 	2.14537442661822E-03 
 0.77 	8.05012043565512E-03 
 0.76 	2.59801046922803E-03 
 0.75 	4.63451538234949E-03 
 0.74 	2.09624879062176E-03 
 0.73 	6.00619008764625E-03 
 0.72 	6.28594541922212E-03 
 0.71 	5.31986495479941E-03 
 0.7 	5.08955912664533E-03 
 0.69 	5.82329416647553E-03 
 0.68 	1.49973330553621E-03 
 0.67 	1.77247764077038E-03 
 0.66 	1.88509374856949E-03 
 0.65 	3.08978231623769E-03 
 0.64 	3.31508461385965E-03 
 0.63 	2.84224923234433E-04 
 0.62 	1.55381960212253E-04 
 0.61 	2.94843292795122E-03 
 0.6 	-3.55452211806551E-04 
 0.59 	5.4015414789319E-03 
 0.58 	2.26760026998818E-03 
 0.57 	6.78472220897675E-03 
 0.56 	4.44549275562167E-03 
 0.55 	5.37452194839716E-03 
 0.54 	3.14969965256751E-03 
 0.53 	2.07390310242772E-03 
 0.52 	4.4461777433753E-03 
 0.51 	1.00770303979516E-02 
 0.5 	3.08307004161179E-03 
 0.49 	4.43436298519373E-03 
 0.48 	7.82014988362789E-03 
 0.47 	0.012620409950614 
 0.46 	1.28881437703967E-02 
 0.45 	1.11856991425157E-02 
 0.44 	1.30624528974295E-02 
 0.429999999999999 	1.99554897844791E-02 
 0.419999999999999 	2.30033919215202E-02 
 0.414999999999999 	6.53747096657753E-02 
 0.409999999999999 	1.25342765823007E-02 
 0.404999999999999 	1.32027780637145E-02 
 0.394999999999999 	2.77775265276432E-02 
 0.384999999999999 	9.37987677752972E-03 
 0.374999999999999 	6.64624711498618E-03 
 0.364999999999999 	6.62207044661045E-03 
 0.354999999999999 	9.56250727176666E-03 
