Title: 磁場スイープ８パタパタ
Date: 2024-06-23
VG	REAL(CURRENT)
 0.7 	8.38449038565159E-03 
 0.69 	5.56408939883113E-03 
 0.68 	8.15069302916527E-03 
 0.67 	0.013712908141315 
 0.66 	6.61119865253568E-03 
 0.65 	6.99472241103649E-03 
 0.64 	1.14922374486923E-02 
 0.63 	8.83896183222532E-03 
 0.62 	9.20655764639378E-03 
 0.61 	9.42471344023943E-03 
 0.6 	1.18449032306671E-02 
 0.59 	8.80688615143299E-03 
 0.58 	8.70579667389393E-03 
 0.57 	7.4231680482626E-03 
 0.56 	0.006881233304739 
 0.55 	0.015582550317049 
 0.54 	1.29797495901585E-02 
 0.53 	1.00726839154959E-02 
 0.52 	1.79962851107121E-02 
 0.51 	1.42498658969998E-02 
 0.5 	1.53689896687865E-02 
 0.49 	2.13872101157904E-02 
 0.48 	2.05885954201221E-02 
 0.47 	1.68276056647301E-02 
 0.46 	2.27471925318241E-02 
 0.45 	2.58040279150009E-02 
