0.001	6.47E-02	0.195261829	0.668401901	0.331598099				0.195810556	0.195261829
0.161	8.84E-02	0.195261829	0.547508873	0.452491127				0.194713101	
0.401	0.110799797	0.195261829	0.432557824	0.567442176					
0.721	0.132410645	0.195261829	0.321881566	0.678118434					
1.121	0.153454617	0.195261829	0.214108473	0.785891527					
1.601	0.160724297	0.195261829	0.17687805	0.82312195					
2.161	0.175203681	0.195261829	0.102724366	0.897275634					
2.801	0.178972006	0.195261829	0.083425536	0.916574464					
3.521	0.182561159	0.195261829	0.065044303	0.934955697					
4.321	0.186502144	0.195261829	0.044861225	0.955138775					
5.201	0.186106741	0.195261829	0.04688621	0.95311379					
6.161	0.190730333	0.195261829	0.023207277	0.976792723					
7.201	0.189501852	0.195261829	0.029498734	0.970501266					
