Title: 磁場スイープ4パタパタ
Date: 2024-06-21
VG	REAL(CURRENT)
 0.7 	2.22160685807467E-02 
 0.69 	3.48684638738632E-02 
 0.68 	1.57577022910118E-02 
 0.67 	3.42116057872772E-02 
 0.66 	2.12600044906139E-02 
 0.65 	1.68973170220852E-02 
 0.64 	1.22804073616862E-02 
 0.63 	1.68929696083069E-02 
 0.62 	3.19296196103096E-02 
 0.61 	2.47443094849586E-02 
 0.6 	2.92519330978394E-02 
 0.59 	2.14546527713537E-02 
 0.58 	3.06972432881594E-02 
 0.57 	7.80924130231142E-03 
 0.56 	2.89079267531633E-02 
 0.55 	8.67417920380831E-03 
 0.54 	2.44600400328636E-02 
 0.53 	4.04345095157623E-02 
 0.52 	9.88296046853065E-03 
 0.51 	2.45426222681999E-02 
